IC0560,146.472656,-0.268221,0,0,0,1853,27.2,-22.10,0.59,-0.7,1.11
IC1024,217.863419,3.009107,0,0,0,1479,24.2,-21.85,0.13,-2.0,1.05
NGC0502,20.731415,9.049169,0,0,0,2524,35.9,-23.05,0.17,-2.0,1.07
NGC0680,27.447035,21.970827,0,1,0,2928,37.5,-24.17,0.34,-4.0,1.16
NGC0770,29.806850,18.954695,0,0,0,2543,36.7,-22.57,0.31,-4.2,0.94
NGC1665,72.071098,-5.427655,0,0,0,2745,37.5,-23.63,0.26,-1.8,1.50
NGC2577,125.681137,22.553040,0,0,0,2062,30.8,-23.41,0.23,-3.0,1.15
NGC2679,132.887192,30.865419,0,0,0,2027,31.1,-22.81,0.14,-2.0,1.35
NGC2699,133.953415,-3.127507,1,3,0,1868,26.2,-22.72,0.08,-5.0,1.06
NGC2768,137.906265,60.037209,1,5,0,1353,21.8,-24.71,0.20,-4.4,1.80
NGC2852,140.810684,40.163879,0,0,0,1781,28.5,-22.18,0.06,1.0,0.85
NGC2880,142.394241,62.490620,1,1,0,1554,21.3,-22.98,0.14,-2.7,1.32
NGC3032,148.034119,29.236279,1,2,0,1562,21.4,-22.01,0.07,-1.9,1.12
NGC3156,153.171692,3.129320,1,3,0,1338,21.8,-22.15,0.15,-2.5,1.24
NGC3226,155.862549,19.898439,1,3,0,1315,22.9,-23.24,0.10,-4.8,1.49
NGC3248,156.939270,22.847170,0,0,0,1481,24.6,-22.43,0.09,-2.0,1.20
NGC3301,159.233459,21.882166,0,0,0,1339,22.8,-23.28,0.10,-0.4,1.30
NGC3377,161.926666,13.985640,1,10,0,690,10.9,-22.76,0.15,-4.8,1.55
NGC3379,161.956665,12.581630,1,15,0,918,10.3,-23.80,0.11,-4.8,1.60
NGC3384,162.070404,12.629300,1,10,0,733,11.3,-23.52,0.12,-2.7,1.51
NGC3400,162.689590,28.468929,0,0,0,1441,24.7,-21.82,0.08,0.7,1.23
NGC3412,162.722137,13.412142,1,5,0,860,11.0,-22.55,0.12,-2.0,1.49
NGC3457,163.702591,17.621157,1,1,0,1148,20.1,-21.89,0.13,-5.0,1.13
NGC3458,164.006042,57.116970,0,0,0,1877,30.9,-23.12,0.04,-2.0,1.06
NGC3499,165.796280,56.221664,0,0,0,1535,26.4,-21.88,0.04,0.0,0.94
NGC3599,168.862305,18.110369,1,3,0,839,19.8,-22.22,0.09,-2.0,1.37
NGC3605,169.194260,18.017141,1,3,0,661,20.1,-21.83,0.09,-4.5,1.23
NGC3607,169.227737,18.051809,1,4,0,942,22.2,-24.74,0.09,-3.1,1.59
NGC3608,169.245697,18.148531,1,4,0,1226,22.3,-23.65,0.09,-4.8,1.47
NGC3613,169.650543,57.999924,1,3,0,2051,28.3,-24.26,0.05,-4.7,1.42
NGC3619,169.840088,57.757683,0,0,0,1560,26.8,-23.57,0.08,-0.9,1.42
NGC3626,170.015808,18.356791,1,1,0,1486,19.5,-23.30,0.08,-1.0,1.41
NGC3630,170.070786,2.964170,0,0,0,1499,25.0,-23.16,0.18,-1.5,1.10
NGC3641,170.286621,3.194489,1,1,0,1780,25.9,-21.85,0.18,-4.9,0.97
NGC3648,170.631195,39.876972,0,0,0,1970,31.9,-23.06,0.09,-2.0,1.12
NGC3658,170.992706,38.562424,0,0,0,2039,32.7,-23.45,0.09,-2.2,1.28
NGC3674,171.610870,57.048290,0,0,0,2055,33.4,-23.23,0.06,-1.9,1.05
NGC3796,175.129776,60.298958,0,0,0,1250,22.7,-21.84,0.06,0.0,1.06
NGC3838,176.057205,57.948101,0,0,0,1308,23.5,-22.52,0.05,0.0,1.04
NGC3945,178.307190,60.675560,0,0,0,1281,23.2,-24.31,0.12,-1.2,1.45
NGC3998,179.484039,55.453564,1,2,0,1048,13.7,-23.33,0.07,-2.1,1.30
NGC4026,179.854950,50.961689,1,2,0,985,13.2,-23.03,0.09,-1.8,1.31
NGC4036,180.362045,61.895699,0,0,0,1385,24.6,-24.40,0.10,-2.6,1.46
NGC4111,181.763031,43.065392,1,1,0,792,14.6,-23.27,0.06,-1.4,1.08
NGC4119,182.040176,10.378720,0,0,1,1656,16.5,-22.60,0.12,-1.3,1.60
NGC4143,182.400360,42.534218,1,2,0,946,15.5,-23.10,0.05,-1.9,1.39
NGC4150,182.640228,30.401487,1,4,0,208,13.4,-21.65,0.08,-2.1,1.20
NGC4179,183.217087,1.299673,0,0,1,1300,16.5,-23.18,0.14,-1.9,1.30
NGC4191,183.459915,7.200842,0,0,0,2646,39.2,-23.10,0.09,-1.8,1.06
NGC4203,183.770935,33.197243,1,2,0,1087,14.7,-23.44,0.05,-2.7,1.47
NGC4255,184.734100,4.785923,0,0,0,1995,31.2,-22.99,0.09,-1.9,1.10
NGC4259,184.842468,5.376242,0,0,0,2497,37.2,-22.19,0.08,-2.0,0.89
NGC4261,184.846924,5.824710,1,5,0,2212,30.8,-25.18,0.08,-4.8,1.58
NGC4262,184.877426,14.877717,2,1,1,1375,15.4,-22.60,0.16,-2.7,1.10
NGC4264,184.899078,5.846804,0,0,0,2518,37.5,-23.00,0.08,-1.1,1.14
NGC4267,184.938675,12.798356,2,1,1,1021,15.8,-23.18,0.20,-2.7,1.58
NGC4268,184.946762,5.283650,0,0,0,2034,31.7,-23.05,0.08,-0.3,1.20
NGC4270,184.955978,5.463371,0,0,0,2331,35.2,-23.69,0.08,-2.0,1.21
NGC4278,185.028320,29.280619,1,9,0,620,15.6,-23.80,0.13,-4.8,1.50
NGC4281,185.089691,5.386430,0,1,0,2671,24.4,-24.01,0.09,-1.5,1.34
NGC4283,185.086609,29.310898,1,3,0,1056,15.3,-21.80,0.11,-4.8,1.09
NGC4324,185.775726,5.250488,0,0,1,1665,16.5,-22.61,0.10,-0.9,1.30
NGC4339,185.895599,6.081713,1,3,1,1266,16.0,-22.49,0.11,-4.7,1.48
NGC4340,185.897141,16.722195,0,2,1,933,18.4,-23.01,0.11,-1.2,1.57
NGC4342,185.912598,7.053936,0,0,1,761,16.5,-22.07,0.09,-3.4,0.82
NGC4346,185.866425,46.993881,1,1,0,832,13.9,-22.55,0.05,-2.0,1.29
NGC4350,185.990891,16.693356,0,2,1,1210,15.4,-23.13,0.12,-1.8,1.23
NGC4365,186.117615,7.317520,2,13,0,1243,23.3,-25.21,0.09,-4.8,1.72
NGC4371,186.230957,11.704288,2,1,1,933,17.0,-23.45,0.16,-1.3,1.47
NGC4374,186.265747,12.886960,2,13,1,1017,18.5,-25.12,0.18,-4.3,1.72
NGC4377,186.301285,14.762218,2,1,1,1338,17.8,-22.43,0.17,-2.6,1.13
NGC4379,186.311386,15.607498,2,2,1,1074,15.8,-22.24,0.10,-2.8,1.27
NGC4382,186.350220,18.191080,2,7,1,746,17.9,-25.13,0.13,-1.3,1.82
NGC4387,186.423813,12.810359,2,3,1,565,17.9,-22.13,0.14,-4.9,1.20
NGC4406,186.549225,12.945970,2,15,1,-224,16.8,-25.04,0.13,-4.8,1.97
NGC4417,186.710938,9.584117,2,1,1,828,16.0,-22.86,0.11,-1.9,1.25
NGC4425,186.805664,12.734803,0,0,1,1908,16.5,-22.09,0.13,-0.6,1.38
NGC4429,186.860657,11.107540,0,0,1,1104,16.5,-24.32,0.14,-1.1,1.62
NGC4434,186.902832,8.154311,2,5,0,1070,22.4,-22.55,0.10,-4.8,1.16
NGC4435,186.918762,13.079021,2,0,1,791,16.7,-23.83,0.13,-2.1,1.49
NGC4442,187.016220,9.803620,2,1,1,547,15.3,-23.63,0.09,-1.9,1.44
NGC4452,187.180417,11.755000,0,2,1,188,15.6,-21.88,0.13,-2.0,1.30
NGC4458,187.239716,13.241916,2,8,1,677,16.4,-21.76,0.10,-4.8,1.37
NGC4459,187.250107,13.978580,2,3,1,1192,16.1,-23.89,0.19,-1.4,1.56
NGC4461,187.262543,13.183857,0,0,1,1924,16.5,-23.08,0.10,-0.8,1.40
NGC4472,187.444992,8.000410,2,18,1,981,17.1,-25.78,0.10,-4.8,1.98
NGC4473,187.453659,13.429320,2,8,1,2260,15.3,-23.77,0.12,-4.7,1.43
NGC4474,187.473099,14.068673,2,1,1,1611,15.6,-22.28,0.18,-2.0,1.30
NGC4476,187.496170,12.348669,2,3,1,1968,17.6,-21.78,0.12,-3.0,1.20
NGC4477,187.509048,13.636443,0,0,1,1338,16.5,-23.75,0.14,-1.9,1.59
NGC4478,187.572662,12.328578,2,9,1,1375,17.0,-22.80,0.10,-4.8,1.20
