name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
NGC5492	1237667734520201280	212.64681988	19.61222883	5183	301	2	522	GALAXY	15.062375	13.677345	12.862947	12.45466	12.124575
NGC5496	1237648702979375203	212.90928322	-1.15920732	752	301	1	463	STAR	24.168442	21.538052	21.256393	20.881163	21.153872
NGC5523	1237665532785459246	213.71791544	25.31727855	4670	301	5	108	STAR	24.565145	25.11438	20.585974	20.653616	20.204857
NGC5526	1237659146706026543	213.47403811	57.77140211	3183	301	6	109	GALAXY	15.368922	14.118498	13.39171	13.061235	12.750373
NGC5560	1237651822172110865	215.01836628	3.99266001	1478	301	3	47	GALAXY	14.767347	13.218523	12.449907	12.041635	11.795609
NGC5584	1237648704054296626	215.59905787	-0.38764802	752	301	3	481	GALAXY	14.273612	12.965158	12.362241	12.008431	12.222151
NGC5602	1237659119323119682	215.57851334	50.50139491	3177	301	3	71	GALAXY	15.264223	13.325866	12.518085	12.099151	11.818716
NGC5630	1237661874024415367	216.90270038	41.25766531	3818	301	6	325	GALAXY	14.690146	13.568745	13.165146	12.965455	12.854784
NGC5645	1237662262170550297	217.66394762	7.27510331	3909	301	1	149	GALAXY	13.876295	12.773837	12.341817	12.110331	12.00967
NGC5661	1237662267532902410	217.98907141	6.25038208	3910	301	3	52	GALAXY	15.319262	14.330281	13.723302	13.485863	13.271282
NGC5667	1237655465923182605	217.5954243	59.46981888	2326	301	6	172	GALAXY	14.357799	13.378695	12.983916	12.747612	12.58092
NGC5678	1237655464312963103	218.02336457	57.9214731	2326	301	3	178	GALAXY	14.128007	12.353183	11.432804	11.026073	10.730285
NGC5730	1237661362914328599	219.96738616	42.74228029	3699	301	6	188	GALAXY	16.069435	14.261851	13.612605	13.269636	13.012239
NGC5740	1237651753491431477	221.10186747	1.67977814	1462	301	3	639	GALAXY	14.456172	12.804235	11.950645	11.504643	11.168613
NGC5777	1237654399164219401	222.82434659	58.97813389	2078	301	3	226	GALAXY	16.122608	14.315632	13.410416	12.909254	12.523213
NGC5795	1237659133821321278	224.08281659	49.40041995	3180	301	6	112	GALAXY	16.472282	14.95482	14.244614	13.892905	13.608843
NGC5850	1237655468598165676	226.78205945	1.54426652	2327	301	3	29	GALAXY	14.383328	12.412381	11.479418	11.020488	10.714002
NGC5894	1237651538184175636	227.92066721	59.8089975	1412	301	2	303	GALAXY	15.223937	13.566362	12.67398	12.182536	11.802337
NGC5921	1237658780022145081	230.48533921	5.07063505	3098	301	3	93	GALAXY	14.248162	12.543849	11.718303	11.298344	11.033005
NGC5951	1237667782318161945	233.42933075	15.00714994	5194	301	3	773	GALAXY	21.378803	19.438881	18.490208	18.085903	17.720921
NGC5958	1237662224622420045	233.7047592	28.65526925	3900	301	3	650	GALAXY	14.199584	13.245541	12.817764	12.641403	12.502501
NGC5961	1237662340546756709	233.81779675	30.86402572	3927	301	3	43	GALAXY	24.634665	19.411953	18.389061	17.896973	17.634846
NGC5981	1237671939262447835	234.47267419	59.39182316	6162	301	2	53	GALAXY	15.972816	14.067259	13.139142	12.622681	12.229648
NGC5985	1237671767463624714	234.90442452	59.33209112	6122	301	2	51	GALAXY	14.704721	12.857036	12.065935	11.573848	11.267695
NGC6012	1237668367460860019	238.55794688	14.60121274	5330	301	5	62	GALAXY	14.582603	13.160814	12.418786	12.030063	11.829881
NGC6015	1237671941411176492	237.85531434	62.31008753	6162	301	6	72	GALAXY	13.398497	12.012223	11.298433	10.963456	10.899969
NGC6063	1237662200437211154	241.80413885	7.9790031	3894	301	6	253	GALAXY	14.928116	13.648718	12.980047	12.632634	12.395168
NGC6070	1237648675068379390	242.49454463	0.70920865	745	301	5	559	GALAXY	14.816833	13.179698	12.313968	11.814587	11.449412
NGC6106	1237662200438456477	244.6977593	7.4098088	3894	301	6	272	GALAXY	21.407799	19.680784	18.95883	18.446239	18.089951
NGC6118	1237668651464982741	245.45261514	-2.28363188	5396	301	6	53	GALAXY	15.383039	13.491038	12.570123	12.054381	11.727422
NGC6155	1237654953202352248	246.53471764	48.36682914	2207	301	3	33	GALAXY	14.395344	13.155482	12.536798	12.243379	12.021084
NGC6181	1237662698115432477	248.08729666	19.82642206	4010	301	5	236	GALAXY	14.76041	12.583804	11.721571	11.253036	11.045302
NGC6207	1237655472359342226	250.76520072	36.8321068	2328	301	2	76	GALAXY	20.417528	18.896395	18.041517	17.59355	17.3174
NGC6339	1237665583795667009	259.27691655	40.84496264	4682	301	4	222	GALAXY	14.756771	13.652143	13.117603	12.852019	12.586962
NGC6384	1237668572012216358	263.10120661	7.06042415	5378	301	2	116	GALAXY	14.573612	12.547022	11.642285	11.15998	10.768668
NGC6675	1237668678850642127	279.36039304	40.05783358	5403	301	1	133	GALAXY	14.918242	13.325909	12.551071	12.135364	11.93396
NGC7137	1237680306393907487	327.05440238	22.15958589	8110	301	3	27	GALAXY	14.45308	13.408252	12.637156	12.270923	11.955934
NGC7177	1237680270961213529	330.17174003	17.73821843	8102	301	1	39	GALAXY	13.348343	11.832747	11.045158	10.586266	10.169255
NGC7241	1237680297807314998	333.95838355	19.23223113	8108	301	3	78	GALAXY	16.349682	18.986862	16.799215	16.422974	14.947516
NGC7328	1237678918585155727	339.37196801	10.53154064	7787	301	2	66	GALAXY	15.485953	13.704585	12.827991	12.375395	12.026377
NGC7339	1237666246295617771	339.44480162	23.7862706	4836	301	6	241	GALAXY	15.046095	13.378759	12.405966	11.91872	11.463412
NGC7347	1237678919122288902	339.98427411	11.02758512	7787	301	3	70	GALAXY	15.712121	14.244254	13.585987	13.198243	12.905061
NGC7416	1237680116879065101	343.92360639	-5.49530145	8066	301	2	36	GALAXY	15.086657	13.329421	12.453578	11.981454	11.651715
NGC7463	1237678600762228868	345.46653475	15.98174132	7713	301	2	137	GALAXY	14.606736	13.465594	12.898047	12.629372	12.397788
NGC7479	1237678920198783025	346.23604755	12.32288494	7787	301	5	112	GALAXY	14.454242	12.850784	11.95054	11.51262	11.044529
NGC7497	1237680245198487603	347.26377371	18.17674354	8096	301	1	147	GALAXY	15.599281	14.155519	13.499915	13.455194	12.895199
NGC7625	1237672764443918530	350.1255857	17.2255649	6354	301	3	219	GALAXY	13.98546	12.231723	11.525221	11.167877	10.812691
NGC7678	1237680298888593433	352.11614448	22.42123823	8108	301	5	193	GALAXY	14.693778	13.176613	12.406124	12.023432	11.72436
NGC7694	1237679997165961225	353.3157165	-2.70273265	8038	301	3	175	GALAXY	15.231606	13.897393	13.406487	13.163301	13.074883
NGC7716	1237666408439873551	354.13104318	0.29726696	4874	301	4	382	GALAXY	14.942105	13.01809	12.14577	11.747547	11.48866
NGC7742	1237678907854618635	356.06565963	10.7670927	7784	301	6	171	GALAXY	13.865073	12.227651	11.400537	11.040304	10.825622
NGC7743	1237678906780876807	356.08814507	9.93413687	7784	301	4	171	GALAXY	14.19571	12.360378	11.57986	11.205088	10.942326
NGC7814	1237652944786292741	0.81246106	16.14569547	1739	301	6	308	GALAXY	24.634638	25.11437	17.739355	16.560566	15.646226
PGC005363	1237671067918925842	21.63886915	39.88109593	5959	301	3	22	GALAXY	16.865423	15.055562	14.252026	13.858503	13.51891
PGC009485	1237678887989084183	37.38192187	-3.21295108	7780	301	1	151	GALAXY	14.185426	13.212512	12.766404	12.665052	12.478427
PGC069448	1237678880475054094	340.06306155	-2.42406669	7778	301	3	184	GALAXY	14.900108	13.614874	12.984789	12.670804	12.527093
PGC2800919	1237680191506678049	323.97496049	-3.14802225	8083	301	5	75	GALAXY	16.199018	14.648893	13.908113	13.518102	13.17241
UGC00260	1237678857937617072	6.76211019	11.58377322	7773	301	1	354	STAR	24.634657	25.114376	21.676105	20.10169	19.132174
UGC01551	1237679562304651278	30.9065352	24.07520488	7937	301	1	238	GALAXY	15.243432	13.643436	13.071195	12.711831	12.552823
UGC03258	1237646587171832213	77.67954353	0.40942913	259	301	4	474	STAR	24.634653	25.114372	20.264032	18.36068	19.008385
UGC04621	1237658191076982836	132.5491991	35.07640877	2961	301	2	127	GALAXY	15.782113	14.13366	13.252774	12.873119	12.555918
UGC04824	1237654654180130861	137.89066966	51.25447516	2137	301	6	260	GALAXY	15.594614	14.225573	13.625192	13.346328	13.296541
UGC04906	1237654381978386583	139.41626286	52.99296362	2074	301	3	135	GALAXY	15.020823	13.394225	12.608901	12.180022	11.791352
UGC05376	1237654600489697310	150.1128244	3.37441293	2125	301	2	209	GALAXY	15.935115	13.889293	12.913683	12.574619	12.244026
UGC05403	1237667735568515150	150.64810347	19.17690449	5183	301	4	134	GALAXY	15.694369	14.122818	13.229608	12.825063	12.420287
UGC05720	1237657611797594121	158.13288246	54.40098744	2826	301	3	193	GALAXY	14.119453	13.279344	12.873606	12.837259	12.675183
UGC06402	1237648720152953054	170.8296685	-0.92261617	756	301	1	367	GALAXY	15.696696	14.54417	13.933245	13.61623	13.334641
UGC06517	1237664818747146309	173.0099881	36.69799086	4504	301	3	108	GALAXY	15.437345	14.210999	13.623431	13.337983	13.13806
UGC06879	1237650761853042762	178.60433696	-2.31954853	1231	301	4	62	GALAXY	15.321621	14.095777	13.504231	13.197893	12.981977
UGC07179	1237658609831772214	182.74114389	63.91531677	3058	301	6	58	GALAXY	15.850296	14.028324	13.207201	12.770938	12.279408
UGC08067	1237650371561914522	194.30052989	-1.70667791	1140	301	5	276	GALAXY	15.341975	14.097869	13.461107	13.139282	12.873825
UGC08658	1237658803116834872	205.16599484	54.33294231	3103	301	6	234	GALAXY	14.977007	13.653889	12.906262	12.612637	12.616007
UGC08693	1237664672719765641	206.11824994	35.1926936	4470	301	3	131	GALAXY	15.559924	14.274368	13.711169	13.433767	13.243296
UGC08756	1237661850939752469	207.64961168	42.54134734	3813	301	3	337	GALAXY	16.088608	14.228737	13.402329	12.927552	12.660078
UGC09665	1237659133285040288	225.38526167	48.31971281	3180	301	5	121	GALAXY	15.903272	14.254129	13.490101	13.080755	12.766331
UGC09703	1237659119326724236	226.35977714	46.56505509	3177	301	3	126	GALAXY	15.945388	14.570262	13.887296	13.517824	13.223415
UGC09741	1237659149923778745	227.13955817	52.29620806	3184	301	4	56	GALAXY	15.257166	14.18924	13.750917	13.549919	13.407298
UGC09977	1237651818953965845	235.49812005	0.71278773	1477	301	5	94	GALAXY	16.426355	14.854252	14.058146	13.625144	13.389538
UGC10043	1237665373868916886	237.17126064	21.8691101	4633	301	5	66	GALAXY	16.808964	15.215752	14.336113	13.788463	13.322369
UGC10288	1237648704066552032	243.60344242	-0.20714294	752	301	3	668	GALAXY	16.426233	14.380548	13.4228	12.895044	12.549159
UGC12010	1237669696762347622	335.82649596	5.53428148	5640	301	1	201	GALAXY	16.590199	15.120303	14.353525	14.119871	13.67003
UGC12074	1237679008242466823	338.27633897	8.09752329	7808	301	1	64	GALAXY	15.927049	14.498761	13.770825	13.37766	13.049849
UGC12300	1237678920735195193	345.15468886	12.78211958	7787	301	6	105	GALAXY	15.753611	14.121966	13.326463	12.954304	12.567881
UGC12518	1237669681720459430	350.05307925	7.93219469	5636	301	5	56	GALAXY	17.075253	15.122369	14.069378	13.464865	13.044553
UGC12857	1237678617417482467	359.19799601	1.35523496	7717	301	1	324	GALAXY	15.248355	14.077244	13.384276	13.013415	12.767364
